paper_id_new,paper_id,coder,data,data_standardized,sensor,brand,metric,metric_larger_category,metric_smaller_category,metric_IG_category,data_per_metric,data_metric_method,outcome,outcome_instrument,outcome_smaller_category,outcome_larger_category,analysis_and_results mm-oo:analysis:resultsig,
1,1,bert,III) Audio,III) Audio,III) microphone,III) NS,1) speech time,1) Verbal,1) Speech Features,1) individual,1) III,1) calculation,A) verbal participation,A) survey,A) communication,A) process,1-A: t-test: sig: (t[38] = 2.18),
2,3,bert,"I) Eye gaze
III) Audio","I) Eye gaze
III) Audio","I) eye-tracker
III) microphone","I) Tobii 1750
III) NS","1) focused gaze 
2) together gaze 
3) dialogue episode
4) gaze transitions","1) Gaze
2) Gaze
3) Verbal
4) Gaze","1) Visual Attention
2) Visual Attention
3) Speech Content
4) Eye Motion","1) individual
2) group
3) individual
4) individual","1) I
2) I
3) III
4) I","1) calculation (entropy)
2) calculation
3) calculation
4) calculation","A) program understanding
B) dialogue episodes","A) researcher codes
B) researcher codes","A) performance
B) coordination","A) product
B) process","1+2-A: anova: sig
1+2-A+B: mixed linear model: sig
4-B: anova: sig",
3,4,edwin,"VI) EDA
VII) ECG","VI) Physiological
VII) Physiological","VI) Varioport 16-bit digital skin conductance amplifier
VII) modified Lead II configuration","VI) Varioport-B portable recorder system
VII) NS",1) physiological linkage,1) Physiological,1) EDA,1) individual,1) VI&VII,1) correlation,"A) behavioral Involvement
B) empathy
C) negative Feelings
D) perceived comprehension","A) Social Presence in Gaming Questionnaire
B) Social Presence in Gaming Questionnaire
C) Social Presence in Gaming Questionnaire
D) Social Presence Inventory Questionnaire","A) cognitive engagement
B) affective
C) affective
D) learning","A) process
B) process
C) process
D) product","1-A: regression: sig
1-B: regression: sig
1-C: regression: sig
1-D: regression: sig",
4,5,iulian,"II) Video
III) Audio
X) Time of flight 3D map","II) Video
III) Audio
X) Body language","II) kinect
III) microphone
X) IRMA Matrix ToF sensors","II) Microsoft
III) not stated
X) Infrared Intelligent Systems","1) non-verbal speaking metrics
2) visual attention
3) verbal dominance and information metrics","1) Verbal
2) Gaze
3) Verbal","1) Speech Participation
2) Visual Attention
3) Speech Participation","1) individual
2) group
3) group","1) X
2) II
3) III","1) Calculation
2) Calculation
3) Calculation","A) perceived leadership
B) perceived contribution","A) questionnaire
B) questionnaire","A) interpersonal relationship / perception
B) interpersonal relationship / perception","A) process
B) process","3-A: correlation : sig
3-B: correlation : sig
1-A: correlation : nonsig
1-B: correlation : nonsig
2-A: correlation : nonsig
2-B: correlation : sig
1*2*3-A: regression: nonsig
1*2*3-B: regression: nonsig",
5,6,bert,"VI) EDA
II) Video","VI) Physiological
II) Video","VI) EDA sensor
II) video camera","VI) Empatica
II) NS","1) eda peak detection 
2) physiological concordance index","1) Physiological
2) Physiological","1) EDA
2) Combined","1) individual
2) group","1) VI
2) II","1) calculation
2) calculation","A) monitoring of behavior, cognition, motivations and emotions ","A) Video coding of monitoring (behavior, cognition, motivations and emotions) ",A) cognitive engagement,A) process,"1,2-A: correlation: sig: (r=0.663)",
6,10,steph,"III) Audio
IV) Video","III) Audio
IV) Video","III) Microphone
IV) video camera","III) NS
IV) Logitech R Webcam Pro 9000","1) group participation speaking cues
2) silence and overlap cues
3) speaking distribution cues
4) individual visual focus of attention
5) group looking cues","1) Verbal
2) Verbal
3) Verbal
4) Gaze
5) Gaze","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Visual Attention
5) Visual Attention ","1) individual
2) group
3) group
4) individual
5) group","1) III
2) III
3) III
4) IV
5) IV","1) Calculation
2) Calculation
3) Calculation
4) Maximum Aposteriori Rule
5) Calculation","A) group composition
B) group interpersonal perception
C) group performance","A) NEO-FFI questionnaire
B) Questionnaire
C) Negative distance between expert list and group list","A) group composition
B) interpersonal relationship / perception
C) performance","A) condition
B) process
C) product","1-A: correlation: sig
2-A: correlation: sig
3-A: correlation: sig
4-A: correlation: sig
5-A: correlation: sig
1-B: correlation: sig
2-B: correlation: sig
3-B: correlation: sig
4-B: correlation: sig
5-B: correlation: sig
1-C: correlation: sig
2-C: correlation: sig
3-C: correlation: sig
4-C: correlation: sig
5-C: correlation: sig
1+2-A: regression: sig
2+3-B: regression: sig
2-C: regression: sig",
7,11,edwin,"I) Audio
II) Video","I) Audio
II) Video","I) NS
II) NS","I) NS
II) NS","1) GeMAPS acoustic features
2) extended GeMAPs acoustic features
3) MFCCs
4) facial action units","1) Verbal
2) Verbal
3) Verbal
4) Head","1) Speech Features
2) Speech Features
3) Speech Features
4) Facial Expressions","1) individual
2) individual
3) individual
4) individual","1) I
2) I
3) I
4) II","1) other: OpenSMILE
2) other: OpenSMILE
3) other: OpenSMILE
4) other: OpenFace","A) voiced Laughter
B) unvoiced Laughter
C) speech Laughter","A) Voicing probability and unvoiced frame ratio
B) Voicing probability and unvoiced frame ratio
C) Human Annotations","A) interpersonal relationship / perception
B) interpersonal relationship / perception
C) interpersonal relationship / perception","A) process
B) process
C) process","1+2+3+4-A: sup. machine learning: nonsig
1+3+3+4-B: sup. machine learning: nonsig
1+2+3+4-C: sup. machine learning: nonsig",
8,12,bert,I) Audio,I) Audio,I) Microphone,I) NS,"1) speech features 
2) linguistic features","1) Verbal
2) Verbal","1) Speech Features
2) Speech Content","1) individual
2) individual","1) I
2) I ","1) calculation
2) calculation",A) group performance,A) group scores compared to expert scores,A) performance,A) product,1+2-A: sup. machine learning: 64.4,is this sig?
9,14,callie,I) Eye gaze,I) Eye gaze,I) eyetracker,I) NS,"1) perceptual with-me-ness (gaze)
2) conceptual with-me-ness (gaze)
3) gaze similarity ","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) individual
2) individual
3) group","1) I
2) I
3) I","1) calculation
2) calculation 
3) calculation",A) learning gains,A) pre-post test,A) learning,A) product,"1-A: correlation: sig: (r = 0.51)
2-A: correlation: sig: (r = 0.41)
3-A: correlation: sig: (r = 0.39)",
10,15,edwin,I) Eye gaze,I) Eye gaze,I) eye-tracking glasses,I) SMI,"1) gaze fixations
2) gaze saccades","1) Gaze
2) Gaze","1) Visual Attention
2) Eye Motion","1) individual
2) individual","1) I
2) I","1) other: BeGaze
2) other: BeGaze",A) reference-action sequence,A) researcher codes,A) performance,A) product,1+2-A: correlation: nonsig,
11,17,steph,"II) Video
IV) Kinesiology
V) Log data","II) Video
IV) Body language
V) Log data","II) Kinect
IV) Kinect
V) own application","II) Microsoft Kinect
IV) Microsoft Kinect
V) JavaTutor","1) dialogue acts
2) facial expression
3) gesture
4) task actions","1) Verbal
2) Head
3) Body
4) Log Data","1) Speech Content
2) Facial Expressions
3) Hand Motion
4) Task-related","1) individual
2) individual
3) individual
4) individual","1) V
2) II
3) IV
4) V","1) sup machine learning
2) CERT
3) calculation
4) none","A) engagement
B) frustration
C) learning gains","A) participant self report
B) participant self report
C) pre-post test","A) cognitive engagement
B) affective
C) learning","A) process
B) process
C) product","1+2+3-A: regression: sig
1+2+3-B: regression: sig
1+2+3-C: regression: sig",
12,18,steph,"IV) Kinesiology
II) Video","IV) Body language
II) Video","IV) Kinect
II) video camera","IV) Microsoft Kinect
II) NS","1) clustered hand/wrist movement
2) object manipulation","1) Body
2) Log Data","1) Hand Motion
2) Task-related","1) individual
2) individual","1) IV
2) II","1) unsupervised machine learning
2) human coding",A) learning gains,A) pre-post test (references to  principles or mechanisms that confer stability to three example structures) ,A) learning,A) product,1-A: sup. machine learning: sig: (ACC: 76%),
13,19,bert,"I) Eye gaze
II) Audio","I) Eye gaze
II) Audio","I) eye-tracker
II) Microphone","I) Tobii 1750
II) NS","1) (not) focused together
2) dialogue episodes","1) Gaze
2) Verbal","1) Visual Attention
2) Speech Content","1) group
2) individual","1) I
2) II","1) calculation
2) calculation",A) level of understanding,A) researcher codes,A) learning,A) product,"1-A: anova: sig: (F [1,16]=8.70)
1+2-A: anova: sig: (F [1,61]=7.60)",
14,20,edwin,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) NS,1) joint visual attention,1) Gaze,1) Visual Attention,1) group,1) I,1) calculation,"A) learning gains
B) collaboration quality","A) learning test
B) coding scheme","A) learning
B) coordination , communication","A) product
B) process","1-A: regression: sig
1-B: regression: sig",
15,21,edwin,V) Log data,V) Log data,V) interactive tabletop,V) NS,1) events,1) Log Data,1) Task-related ,1) individual,1) V,1) calculation,A) group performance,A) researcher codes,A) performance,A) product,1-A: unsup. machine learning: sig,
16,22,edwin,"I) Eye gaze
V) Log data","I) Eye gaze
V) Log data","I) eye-tracker
V) NS","I) Tobii X1
V) NS","1) joint visual attention
2) n-grams
3) cosine similarity scores
4) convergence measures
5) coherence metrics","1) Gaze
2) Verbal
3) Verbal
4) Verbal
5) Verbal","1) Visual Attention
2) Speech Content
3) Speech Content
4) Speech Content
5) Speech Content","1) individual
2) individual
3) individual
4) individual
5) individual","1) I
2) V
3) V
4) V
5) V","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation","A) learning gains
B) collaboration quality","A) learning test
B) coding scheme","A) learning
B) coordination , communication","A) product
B) process","1,4-A: ANOVA: nonsig
1,4-B: ANOVA: nonsig
1,5-A: correlation: sig
2,3,4,5-A: sup. machine learning: 75%",is this sig?
17,24,edwin,"I) Eye gaze
II) Video
III) Audio","I) Eye gaze
II) Video
III) Audio","I) eye-tracker
II) camera
III) microphone ","I) SMI Eye- Tracking Glasses with binocular pupil tracking at 30Hz
II) NS
III) NS","1) joint visual attention
2) gestures
3) speech duration","1) Gaze
2) Body
3) Verbal","1) Visual Attention
2) Hand Motion
3) Speech Participation","1) group
2) individual
3) individual","1) I
2) II
3) III","1) calculation
2) qualitative
3) calculation","A) group performance 
B) learning gains","A) researcher codes
B) learning test","A) performance
B) learning","A) product
B) product","1,2,3-B: qualitative: sig
1-B: correlation: sig",
18,25,edwin,"II) Video
III) Audio
V) Log data","II) Video
III) Audio
V) Log data","II) camera
III) microphone
V) digital pen","II) NS
III) NS
V) NS","1) calculator use
2) total movement
3) distance from the center of the table
4) number of interventions
5) speech duration
6) times numbers were mentioned
7) times mathematical terms were mentioned
8) times commands were pronounced
9) total number of pen strokes
10) average number of points
11) average stroke time length
12) average stroke path length
13) average stroke displacement
14) average stroke pressure","1) Log Data
2) Body
3) Body
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Log Data 
10) Log Data 
11) Log Data 
12) Log Data 
13) Log Data 
14) Log Data","1) Task-related
2) Gross Body Motion
3) Location
4) Speech Participation
5) Speech Participation
6) Speech Content
7) Speech Content
8) Speech Content
9) Text 
10) Text 
11) Text 
12) Text 
13) Text 
14) Text ","1) individual
2) individual
3) individual
4) group
5) individual
6) individual
7) individual
8) individual
9) individual
10) individual
11) individual
12) individual
13) individual
14) individual","1) II
2) II
3) II
4) III
5) III
6) III
7) III
8) III
9) V
10) V
11) V
12) V
13) V
14) V","1) other: OpenCV
2) other: Codebook algorithm
3) other: OpenTld
4) other: stats generator algorithm
5) other: stats generator algorithm
6) other: stats generator algorithm
7) other: stats generator algorithm
8) other: stats generator algorithm
9) other: Strontium
10) other: Strontium
11) other: Strontium
12) other: Strontium
13) other: Strontium
14) other: Strontium","A) odds of a student solving correctly a problem
B) expert prediction","A) researcher codes
B) researcher codes","A) performance
B) group composition","A) product
B) condition","1,2,3,4,5,6,7,8,9,10,11,12,13,14-A: regression: sig
1,2,3,4,5,6,7,8,9,10,11,12,13,14-B: sup. machine learning: sig",
19,26,edwin,"II) Video
III) Audio","II) Video
III) Audio","II) video camera
III) microcone","II) NS
III) Dev-Audio","1) speaking status
2) pitch
3) energy
4) head motion
5) body motion
6) motion energy images
7) gaze","1) Verbal
2) Verbal
3) Verbal
4) Head
5) Body
6) Body
7) Gaze","1) Speech Participation
2) Speech Features
3) Speech Features
4) Head Motion
5) Gross Body Motion
6) Gross Body Motion
7) Visual Attention","1) group
2) individual
3) individual
4) individual
5) individual
6) individual
7) group","1) III
2) III
3) III
4) II
5) II
6) II
7) II","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation
6) calculation
7) calculation",A) personality traits,A) self-reported survey + researcher codes,A) group composition,A) condition,"1,2,3,4,5,6,7-A: unsup. machine learning: 69.61%",is this sig?
20,27,edwin,"II) Video
III) Audio
V) Log data","II) Video
III) Audio
V) Log data","II) camera
III) microphone
V) digital pen and digital paper","II) Point Grey Scorpion digital firewire cameras
III) Countryman Isomax hyper-cardioid microphones
V) Nokia digital pens and Anoto digital paper","1) total manual gestures per second
2) iconic gestures per second
3) deictic gestures per second","1) Body
2) Body
3) Body","1) Hand Motion
2) Hand Motion
3) Hand Motion","1) individual
2) individual
3) individual","1) II
2) II
3) II","1) qualitative
2) qualitative
3) qualitative",A) expertise,A) researcher codes,A) group composition,A) condition,"1-A: Wilcoxon Signed Ranks test: sig
2-A: Wilcoxon Signed Ranks test: sig
3-A: Wilcoxon Signed Ranks test: nonsig",
21,28,edwin,"III) Audio
V) Log data","III) Audio
V) Log data","III) microphone
V) interactive tabletop","III) Dev-Audio
V) Collaid","1) sequences of verbal utterances
2) sequences of meaningful actions","1) Verbal
2) Log Data","1) Speech Content
2) Touch ","1) individual
2) individual","1) III
2) V","1) qualitative
2) qualitative",A) colloboration quality,A) researcher codes,"A) coordination , communication",A) process,"1,2-A: unsup. machine learning: 90%",is this sig?
22,32,callie,III) Audio,III) Audio,III) microphone,III) NS,"1) duration of all vocalisations
2) average duration of vocalisation
3) standard deviation of vocalisation
4) probability of a transition from floor to a vocalisation
5) probability of a transition from a vocalisation to floor
6) probability of transitioning from a group vocalisation to speaker vocalisation
7) probability of transitioning from a speaker vocalisation to a group vocalisation
8) uncertainty in the transitions originating from a speaker","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal
8) Verbal","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Participation
7) Speech Participation
8) Speech Participation","1) individual
2) individual
3) individual
4) individual
5) individual
6) individual
7) individual
8) group","1) III
2) III
3) III
4) III
5) III
6) III
7) III
8) III","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation
6) calculation
7) calculation
8) calculation",A) identity of the expert,"A) student with the highest cumulative score of points assigned to correctly and incorrectly solved problems, weighted according a discrete diffculty level scale",A) group composition,A) condition,1+2+3+4+5+6+7+8-A: sup. machine learning: sig: (ACC: 92%),
22,32,callie,III) Audio,III) Audio,III) microphone,III) NS,9) transition probability between types of vocalisations,9) Verbal,9) Speech Participation,9) individual,9) III,9) calculation,B) task performance,B) correct vs incorrect solutions,B) performance,B) product,"9-B: sup. machine learning: sig: (F1: 0.838, 0.395)",
23,33,callie,"IV) Kinesiology
V) Log data","IV) Body language
V) Log data","IV) Kinect
V) Own application","IV) Microsoft Kinect
V) Created","1) amount of exploration
2) types of exploration
3) amount of movement
4) type of movement
5) body synchronization
6) body distance","1) Log Data
2) Log Data
3) Body
4) Body
5) Body
6) Body","1) Task-related
2) Task-related
3) Gross Body Motion
4) Gross Body Motion
5) Gross Body Motion
6) Location","1) individual
2) individual
3) individual
4) group
5) individual
6) individual","1) V
2) V
3) IV
4) IV
5) IV
6) IV","1) calculation
2) calculation
3) calculation
4) unsup machine learning
5) calculation
6) calculation","A) individual learning gains
B) group learning gains
C) leadership","A) pre-post test
B) pre-post test
C) coding","A) learning
B) learning
C) group composition","A) product
B) product
C) condition","1-A: correlation: nonsig
2-A: correlation: mixed
3-A: correlation: nonsig
4-A: correlation: sig
4-C: ANOVA: sig
5-A: ANOVA: nonsig
6-A: correlation: nonsig
1+2+3+4+5+6-B: sup. machine learning: sig (ACC: 100%)",
24,39,bert,"VI) EDA
II) Audio","VI) Physiological
II) Audio","VI) Smart Wristband
II) Microphone ","VI) Empatica E4
II) Kinect Microphone","1) physiological synchrony (PC)
2) physiological synchrony (DA)
3) physiological synchrony (SM)
4) physiological synchrony (IDM)
5) cycles of physiological synchrony (PC)","1) Physiological
2) Physiological
3) Physiological
4) Physiological
5) Physiological","1) EDA
2) EDA
3) EDA
4) EDA
5) EDA","1) group
2) group
3) group
4) group
5) group","1) VI
2) VI
3) VI
4) VI
5) VI","1) Calculation
2) Calculation
3) Calculation
4) Calculation
5) Calculation","A) collaboration quality
B) task performance
C) learning gains","A) Meier, Spada and Rummel coding scheme
B) Performance score
C) pre-post test","A) coordination , communication
B) performance
C) learning","A) process
B) product
C) product","1-C: correlation: sig: r = 0.35
2-A: correlation: sig: r =0.47
5-A: correlation: sig: r = 0.57
5-C: correlation: sig: r = 0.47",
25,40,edwin,"I) Audio
II) Video
VI) EDA","I) Audio
II) Video
VI) Physiological","I) microphone
II) webcam
VI) electrodes","I) NS
II) NS
VI) Shimmer 3 GSR+","1) speech rate
2) face and upper body movement
3) galvanic skin response","1) Verbal
2) Body
3) Physiological","1) Speech Features
2) Gross Body Motion
3) EDA","1) individual
2) individual
3) individual","1) I
2) II
3) VI","1) sup machine learning
2) sup machine learning
3) calculation","A) perceived collaboration quality
B) perceived valence
C) perceived arousal
D) task performance","A) Questionnaire
B) 5-point Likert scale
C) 5-point Likert scale
D) Trophies earned","A) interpersonal relationship / perception, coordination
B) affective
C) affective
D) performance","A) process
B) process
C) process
D) product","1+2+3-A: unsup. machine learning: nonsig
1+2+3-B: unsup. machine learning: nonsig
1+2+3-C: unsup. machine learning: nonsig
1+2+3-D: unsup. machine learning: nonsig",
26,41,bert,I) Eye gaze,I) Eye gaze,I) eyetracker,I) Tobii Glasses,"1) joint visual attention
2) cycles of collaborative / individual work","1) Gaze
2) Gaze","1) Visual Attention
2) Visual Attention","1) group
2) individual","1) I
2) I","1) calculation
2) calculation","A) learning gains
B) collaboration quality
C) task performance","A) pre-post test
B) Meier Spada Rummel coding scheme
C) number of mazes solved","A) learning
B) coordination , communication
C) performance","A) product
B) process
C) product","1-B: correlation: sig: r = 0.341
2-B: correlation: sig: r = 0.347
2-A: correlation: sig: r = 0.398
2-C: correlation: sig: r = 0.355",
27,42,steph,"I) Eye gaze
VI) Log data","I) Eye gaze
VI) Log data","I) eye-tracker
VI) digital","I)  Tobii 1750 eye-trackers
VI) Tetris ","1) gaze location
2) gaze saccade
3) gaze fixation
4) player actions
5) zoid acceleration","1) Gaze
2) Gaze
3) Gaze
4) Log Data
5) Log Data","1) Visual Attention
2) Eye Motion
3) Visual Attention
4) Task-related
5) Task-related ","1) individual
2) individual
3) individual
4) individual
5) individual","1) I
2) I
3) I
4) VI
5) VI","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation",A) social context,A) experimental set-up,A) group composition,A) condition,1+2+3+4+5-A: sup. machine learning: sig: (ACC:81.43),
28,43,callie,III) Audio,III) Audio,III) microphone,III) NS,"1) pitch
2) intensity
3) voice quality
4) speaking rate
5) proximity
6) convergence
7) synchrony","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal
7) Verbal","1) Speech Features
2) Speech Features
3) Speech Features
4) Speech Features
5) Speech Features
6) Speech Features
7) Speech Features","1) individual
2) individual
3) individual
4) individual
5) group
6) group
7) group","1) III
2) III
3) III
4) III
5) III
6) III
7) III","1) calculation
2) calculation
3) calculation
4) calculation
5) calculation
6) calculation
7) calculation",A) rapport level,A) human coding validated with self-reports,A) interpersonal relationship / perception,A) process,"5-A: correlation: mixed: (Max r 0.842)
6-A: correlation: mixed: (Max r 0.741)
7-A: correlation: mixed: (Max r 0.634)",
29,44,edwin,I) Eye gaze,I) Eye gaze,I) optical see-through head-mounted display,I) NS,1) gaze location,1) Gaze,1) Visual Attention,1) individual,1) I,1) none,"A) quality of remote collaboration
B) task completion time","A) seven-point scale questionnaire
B) timer","A) performance
B) performance","A) product
B) product","1-A: Wilcoxon Signed Ranks test: sig
1-B: Wilcoxon Signed Ranks test: sig",
30,46,bert,I) Eye gaze,I) Eye gaze,I) eyetracker,I) SMI Glasses,1) joint visual attention,1) Gaze,1) Visual Attention,1) group,1) I,1) calculation,"A) task performance
B) learning gains","A) calculation
B) pre post test","A) performance
B) learning","A) product
B) product","1-A: correlation: sig: (r = 0.59)
1-B: correlation: sig: (r = 0.42)",
31,47,edwin,"II) Video
III) Audio","II) Video
III) Audio","II) video camera
III) microcone","II) NS
III) NS","1) intra-personal features
2) dyadic features
3) one vs all features","1) Head
2) Head
3) Verbal","1) Facial Expressions
2) Facial Expressions
3) Speech Features","1) individual
2) group
3) group","1) II&III
2) II&III
3) II&III","1) other: openSMILE, Motion Energy Image
2) calculation
3) calculation","A) personality traits
B) social impressions","A) self-reported survey
B) questionnaire","A) group composition
B) interpersonal relationship / perception","A) condition
B) process","1-A: Regression: 73.53%
1-B: Regression: 76.47%
2-A: Regression: 60.54%
2-B: Regression: 66.42%
3-A: Regression: 65.69%
3-B: Regression: 73.53%",Are these sig?
32,48,bert,"II) Video
III) Audio","II) Video
III) Audio","II) video camera
III) microphone","II) NS
III) NS","1) audio energy features
2) visual focus of attention","1) Verbal
2) Gaze","1) Speech Features
2) Visual Attention","1) individual
2) individual","1) III
2) II","1) calculation
2) calculation",A) visual dominance ratio,A) manual annotation of videos,A) group composition,A) condition,1+2-A: sup. machine learning: 79.4%,Are these sig?
33,49,steph,"II) Video
III) Audio
V) Log data
X) computer screen recording","II) Video
III) Audio
V) Log data
X) Log data","II) video camera
III) microphone
V) digital
X) digital","II) NS
III) NS
V) FACT (Formative Assessment using Computational Technology)
X) NS","1) card movements
2) scrolling
3) zooming
4) audio features","1) Log Data
2) Log Data
3) Log Data
4) Verbal","1) Task-related 
2) Task-related 
3) Task-related 
4) Speech Features","1) individual
2) individual
3) individual
4) individual","1) V
2) V
3) V
4) III","1) calculation
2) calculation
3) calculation
4) calculation","A) collaboration
B) asymmetric contribution
C) cooperation","A) manual annotation of videos
B) manual annotation of videos
C) manual annotation of videos","A) coordination , communication
B) coordination
C) coordination , communication","A) process
B) process
C) process","1+2+3+4-A+C: sup. machine learning: 96%
1+2+3+4-A+B+C: sup. machine learning: 86%",Are these sig?
34,50,edwin,III) Audio,III) Audio,III) NS,III) NS,1) speech utterances,1) Verbal,1) Speech Content,1) individual,1) III,1) calculation,A) personality traits,A) self-reported survey + perceived interaction scores,A) group composition,A) condition,1-A: sup. machine learning: 87.9%,Are these sig?
35,52,steph,I) Eye gaze,I) Eye gaze,I) eye-tracker,I) EyeTribe,"1) gaze area of interest 
2) cross-recurrence quantification analysis
3) multidimensional recurrence quantification analysis","1) Gaze
2) Gaze
3) Gaze","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) individual
2) group
3) group","1) I
2) I
3) I","1) calculation
2) matrix calculation
3) matrix calculation","A) construction of shared knowledge
B) negotiation
C) coordination
D) task score
E) group performance","A) manual annotation of videos
B) manual annotation of videos
C) manual annotation of videos
D) expert coding of task, post-test score
E) self-reported survey","A) coordination
B) coordination
C) coordination
D) performance
E) performance","A) process
B) process
C) process
D) product
E) product","2-A: regression: sig 
3-B: regression: sig
3-C: regression: sig
2-D: regression: nonsig
2-E: regression: sig
2-D: regression: nonsig
2-E: regression: nosig",
36,53,bert,"I) Eye gaze
III) Audio","I) Eye gaze
III) Audio","I) eye-tracker
III) microphone","I) Tobii X1
III) NS","1) joint visual attention
2) simple linguistic features
3) convergence of linguistic styles
4) coherence","1) Gaze
2) Verbal
3) Verbal
4) Verbal","1) Visual Attention
2) Speech Content
3) Speech Content
4) Speech Content","1) group
2) individual
3) group
4) group","1) I
2) III
3) III
4) III","1) calculation
2) calculation
3) calculation
4) calculation","A) learning gains
B) collaboration
C) joint visual attention","A) pre-post test
B) Coding scheme
C) calculation","A) learning
B) coordination, communication
C) coordination, communication","A) product
B) process
C) process","3-A,B,C: correlation: nonsig
4-A: correlation: sig
4-C: ANOVA: sig
2-A: sup. machine learning: 75%",Are these sig?
